country,Ranking,Teaching,International,Research,Citations,Income,Students
Chile,265,13,48.7,10.1,99.7,28.1,11718
Iceland,265,14.9,59.1,24.7,74.8,64,13960
Morocco,325,16.3,45.1,6.5,83,28.6,56060
Thailand,375,16.7,22.5,10,75,56.5,17791
Macau,285,17.1,73.3,20.3,68.1,33.6,8521
Colombia,265,17.3,54.6,12.1,89.8,36.5,15773
Greece,325,19,47,16.8,67,36,14650
Poland,325,20.8,41.6,13.6,70,28.5,49292
New Zealand,285,23.4,84.3,26,56.72,51.06,17575
Iran,350,24.7,19.7,31,49.65,85.15,10971
Portugal,375,25.15,48.25,19.5,52.7,39.2,33470
South Africa,224.7,26.37,63.6,29.4,66.5,92.5,21737
Spain,273.3,26.65,49.35,23.32,68.18,42.45,31150
Italy,290.8,27.3,42.67,21.8,68.15,41.43,43844
Finland,293.3,27.66,50.2,27.79,57.07,39.6,12280
India,330,28.93,20.88,22.23,60.53,46.23,9099
Denmark,226.8,29.62,70.14,31.82,64.14,63.86,20212
Republic of Ireland,259.6,29.84,77.68,24.86,60.5,36.36,14012
Norway,265.3,29.95,60.08,27.4,59.4,38.65,16635
Turkey,185.2,29.97,44.85,30.1,81.92,48.98,15812
Austria,254.4,30.94,79.64,24.7,60.24,39.88,21458
Czech Republic,325,31.5,53.9,24.3,50.1,29.4,51438
Australia,227.3,32.32,78.75,36.64,59.24,52.25,27159
Sweden,202,33.48,58.55,40.88,63.79,51.4,17851
Taiwan,305,34.85,26.77,42.32,39.25,70.07,15462
Belgium,207.3,35.97,62.16,36.6,62.59,71.03,24237
France,180.9,36.05,66.35,28.68,75.73,42.4,20539
Germany,210.8,36.65,54.78,30.81,68.12,50.76,28469
United Kingdom,171.7,37.5,79.21,38.34,73.89,38.12,17252
Netherlands,121.1,38.75,65.55,51.28,66.92,74.96,17375
Canada,182.4,38.98,65.89,41.24,64.84,50.31,32104
China,252.7,40.25,35.77,31.92,58.18,72.25,37692
Russian Federation,260.5,40.25,52.1,29.65,52.15,55.95,18977
Hong Kong,159.2,40.62,71.2,45.92,65.28,46.32,15276
Israel,206,40.63,53.33,41.63,51.57,36.87,18481
Switzerland,110.6,43.68,90.06,44.38,78.09,60.56,14967
Japan,229.2,44.99,31.73,38.34,55.33,58.34,19331
South Korea,207.9,45.47,36.37,44.49,54.48,81.34,17361
United States of America,155,47.07,44.47,44.03,77.44,40.76,24309
Brazil,270,47.5,23,45.2,30.15,42.3,54249
Singapore,43,57.95,93.7,67,70.95,76.7,28310
New Zealand,417.4,24.47,89.04,23.76,47.89,43.17,17994
Nigeria,700.0,22.70,26.10,11.10,4.60,29.20,26247
Norway,266.8,29.65,66.05,30.18,69.13,40.78,16635
Oman,700.0,21.30,71.50,10.60,16.00,37.60,7089
Pakistan,625.0,19.65,33.35,8.45,40.30,15.65,11248
Poland,678.6,19.56,24.86,10.13,28.54,28.21,37269
Portugal,467.9,26.29,45.13,23.79,41.29,40.10,23413
Qatar,700.0,9.90,99.90,10.30,22.30,55.20,9583
Republic of Ireland,370.7,27.70,79.80,23.52,52.51,37.20,12479
Romania,662.5,25.80,31.15,10.38,17.85,21.58,27095
Russian Federation,481.6,36.73,31.05,22.72,33.26,47.62,16462
Saudi Arabia,458.3,23.10,84.33,15.13,41.10,70.57,27818
Serbia,700.0,20.40,30.50,13.20,14.00,45.60,96968
Singapore,40.5,60.05,95.40,72.90,82.50,74.85,28310
Slovakia,700.0,23.15,38.75,9.45,22.25,30.60,18640
Slovenia,625.0,21.00,34.05,12.55,33.05,35.50,31676
South Africa,395.0,25.60,55.28,27.23,46.15,68.63,55033
South Korea,498.0,29.62,30.60,27.48,35.38,61.00,18432
Spain,517.4,24.32,40.91,17.42,43.98,35.56,33213
Sweden,181.4,34.31,60.81,41.22,76.55,55.24,17027
Switzerland,169.0,41.54,92.94,41.45,75.65,60.32,13094
Taiwan,578.8,24.17,22.91,25.16,26.54,53.12,12873
Thailand,678.6,20.17,32.67,10.86,24.53,45.34,30017
Turkey,561.4,20.51,28.87,19.40,33.67,59.34,63934
Uganda,450.0,15.10,58.00,10.60,70.70,28.00,37340
Ukraine,700.0,24.80,38.30,9.95,2.95,28.40,18548
United Arab Emirates,625.0,15.60,95.30,12.70,17.50,31.70,7224
United Kingdom,335.6,32.17,78.71,30.90,60.78,33.88,17665
United States of America,267.0,40.90,42.57,37.34,70.68,41.48,22574
