country,Ranking,Teaching,International,Research,Citations,Income,Students
Thailand,375,11.3,23.8,10.2,68.4,60.2,17791
Iceland,265,11.4,59.9,28,71,74.4,13960
Colombia,375,15.5,53,11.4,68.2,28.4,15773
Greece,325,17.1,44.4,16.3,68.6,34.1,14650
Estonia,375,18.6,42.4,27.4,52.4,30.1,10269
Saudi Arabia,325,19.7,71,10.3,63.4,40.2,35889
Portugal,375,21.6,45.33,20.63,50.13,36.1,20867
Poland,375,22.95,40.75,16.1,51.1,28.7,46064
New Zealand,281,23.65,84.18,27.33,53.75,50.13,17829
Italy,314.3,26.07,36.97,21.46,59.31,42.05,44455
Spain,299.3,26.91,40.36,21.77,64.21,35.07,33086
South Africa,247,29.18,61.05,34.75,54.6,77.7,23946
Republic of Ireland,264.4,29.32,74.2,25.7,58.08,35.76,15048
Norway,260,29.43,62.33,28.43,58.93,36.7,16635
Finland,279.8,29.9,44.9,27.72,56.34,52.4,14030
Mexico,375,31,33.2,31.6,24.6,36,137378
Denmark,211,31.22,70.28,33.9,66.22,64.52,20212
Iran,325,32.9,16.7,42.8,34.2,93,10977
Austria,269.5,33.05,71.88,23.63,56.82,32.58,21156
Czech Republic,325,34.7,50.3,26.2,42,28.1,51438
Australia,231.9,34.97,75.78,40.92,53.81,53.44,26096
Turkey,251,35.24,36.06,31.64,56.98,52.96,19081
Belgium,206,36.1,60.41,39.71,61.94,68.34,24237
Taiwan,290.6,36.36,23.63,43.03,38.81,66.06,14813
Sweden,181.2,36.85,58.41,46.46,63.37,56.63,17851
France,187.1,39.3,62.93,31.74,73.76,36.8,19624
United Kingdom,182.7,39.87,76.49,41.04,69.42,40.81,16508
Germany,203.9,40.29,53.72,31.98,67.04,41.11,29260
Canada,190,40.42,60.01,44.65,61.33,49.66,31553
India,291.7,40.63,17.2,30.7,43.47,65.17,8772
Russian Federation,225,42.2,34.55,29.35,59.85,64.85,19312
Netherlands,109.2,44.98,60.94,57.87,66.9,73.74,17375
Switzerland,127.8,45.63,85.4,43.6,79.73,34.06,14967
Hong Kong,166,46.95,68.97,51.95,56.27,48,15276
Israel,162.7,48.1,48.57,55.27,48.23,41.2,18481
China,228.1,48.3,34.57,37.67,52.37,66.2,35347
Japan,229.5,49.33,26.02,41.63,50.75,52.64,20440
United States of America,154.2,51.08,38.23,48.22,76.44,35.9,24581
Brazil,211.5,57.35,22.7,56.25,28.35,42.45,54249
South Korea,135,58.43,29.75,59.53,53.65,81.43,18609
Singapore,57.5,60.05,91.4,77.05,60.85,88.45,28310
